id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
1,De Knok,Egelantierstraat- Bissegem,Complete,CLOSED,/001 - De Knok,3034,Popp Remastered,3.231963577,50.83042679
2,Hoeve Sobry,Seringlaan 8500,Disappeared,X,,6312,Popp Remastered,3.289220022,50.82474786
3,Klessenaere,Firmin Deprezlaan 8500,Disappeared,X,,5551,Popp Remastered,3.284471855,50.82305282
4,Blauwe Hoeve,Emmanuel Vi�rinwandeling- Kortrijk,Complete,CLOSED,/004 - Blauwe Hoeve,8829,Popp Remastered,3.271687694,50.81664531
5,Goed Ter Bede,12- Guldensporenpad- Kortrijk,Complete,CLOSED,/005 - Goed Ter Bede Kasteel van Surmont,11529,Popp Remastered,3.304737139,50.82274241
6,Goed te Cattebeke ,Oudenaardsesteenweg- Zwevegem EVOLIS,Complete,OPEN,/006 - Goed te Cattebeke 2 Bar Botaniek,8788,Popp Remastered,3.312152792,50.81753299
7,Kasteel van Marke,Kasteeldreef- Marke 8510,Incomplete,X,/007 - Kasteel van Marke,,Satellite,3.241815686,50.82086353
8,Heerlijkheid van Heule ,53- Zeger van Heulestraat- Heule,Complete,OPEN,/008 - Heerlijkheid van Heule,14881,Popp Remastered,3.238008945,50.84637287
9,Vierschaar ten Akker,9 Vierschaar ten Akker ,Complete,CLOSED,/009 - Vierschaar ten Akker _ Wilderness,10049,Popp Remastered,3.282760307,50.82541051
10,,Athena campus Heule- 10- Guido Gezellelaan- Heule 8501,Disappeared,X,,3495,Popp Remastered,3.240274876,50.83310333
11,De Blauwpoorte,Moorseelsestraat- Heule,Complete,CLOSED,,9816,Popp Remastered,3.243933454,50.83431368
12,,Kransvijver- Heule 8501,Disappeared,X,/011 - De Blauwpoorte,6154,Popp Remastered,3.230954213,50.83904473
13,Ter Mote (next to the parc),Izegemsestraat- Heule 8501,Incomplete,X,/013 - Ter Mote,10879,Popp Remastered,3.253254116,50.84853289
14,,Kongostraat- Kuurne,Disappeared,X,,6038,Popp Remastered,3.265533056,50.84944179
15,,Kongostraat- Kuurne,Disappeared,X,,5471,Popp Remastered,3.262192371,50.85013801
16,,Tuur matras- 2- Noordlaan- Kuurne,Disappeared,X,,3392,Popp Remastered,3.259240891,50.8565162
17,Chateau de Madame Piers,Nieuwenhuyse- Sint-Pieter- Kuurne,Disappeared,X,,13896,Popp Remastered,3.277711963,50.8555539
18,Hoeve Vandewalle,168- Boomgaardstraat- Kuurne,Complete,CLOSED,/18 - Hoeve Vandewalle,9940,Popp Remastered,3.271565751,50.85256449
19,,Industrielaan- Heule- Kuurne,Disappeared,X,,4260,Popp Remastered,3.255705603,50.85762181
20,,Condruzenstraat- Kuurne,Incomplete,X,,4054,Popp Remastered,3.266295252,50.85202187
21,,Harelbekestraat- Kuurne,Disappeared,X,,6329,Popp Remastered,3.297123617,50.85123353
22,Groene Long,Verbindingsweg- Kuurne,Complete,CLOSED,/022 - Groene Long,5395,Popp Remastered,3.294415391,50.85617838
23,Le coq Harlembois,Waterzuivering Aquafin Harelbeke- Kortrijksesteenweg- Harelbeke 8530,Incomplete,X,/023 - Le Coq dIncompleteHarlembois,20745,Popp Remastered,3.288463781,50.84285782
24,Goed t Halle,26- Hazelaarsdreef- Harelbeke 8530,Disappeared,X,,14134,Popp Remastered,3.309302523,50.8407483
25,Kasteel van Maekere,Harelbeke 8530,Incomplete,X,/025 - Kasteel van Maekere,11909,Popp Remastered,3.293896449,50.83644704
26,,14- Tuinbouwstraat- Harelbeke 8530,Disappeared,X,,7769,Popp Remastered,3.290750367,50.83741998
27,,55- Venetielaan- Harelbeke 8530,Disappeared,X,,9389,Popp Remastered,3.301777873,50.83522828
28,,103- Berkenlaan- Harelbeke 8530,Disappeared,X,,9901,Popp Remastered,3.29757769,50.83912001
29,,Kollegelaan- Harelbeke 8530,Disappeared,X,,5748,Popp Remastered,3.300756207,50.84024651
30,,57- Dennenlaan- Harelbeke 8530,Disappeared,X,,7016,Popp Remastered,3.304713135,50.84334935
31,,Texaco- 58- Venetielaan- Harelbeke 8530,Disappeared,X,,5322,Popp Remastered,3.299393985,50.83353834
32,,R8- Harelbeke 8530,Disappeared,X,,10068,Popp Remastered,3.293864016,50.83393779
33,Het Goed te Gaver,Visserskaai- Stasegem- Harelbeke 8530,Disappeared,X,,9120,Popp Remastered,3.299588588,50.8277204
34,Goed Incompletet Gehuchte / Massureel Hoeve,Hoevestraat 8500,Incomplete,X,,5299,Popp Remastered,3.29199907,50.8318381
35,,Spoorbermstraat 8500,Incomplete,X,,7230,Popp Remastered,3.288804337,50.83208393
36,,Schilderstraat 8500,Complete,X,,3817,Popp Remastered,3.281636458,50.83346665
37,,Politieke Gevangenenstraat- Stasegem- Harelbeke 8530,Disappeared,X,,8270,Popp Remastered,3.308734931,50.83431674
38,,Politieke Gevangenenstraat- Stasegem- Harelbeke 8530,Disappeared,X,,9693,Popp Remastered,3.302215729,50.83273944
39,Hoeve Foulon,19- Acacialaan- Harelbeke 8530,Disappeared,X,,6143,Popp Remastered,3.307991052,50.83649191
40,Hoeve Eeckhout,Hermelijnstraat- Stasegem- Harelbeke 8530,Incomplete,X,,11176,Popp Remastered,3.318795054,50.82998531
